,category,new_features_params,features,year_range,algorithm,parameters,class_balancing,problem,test_accuracy,test_log_loss,test_confusion_matrix,test_precision_0,test_precision_1,test_recall_0,test_recall_1,test_fscore_0,test_fscore_1,train_accuracy,train_log_loss,train_confusion_matrix,train_precision_0,train_precision_1,train_recall_0,train_recall_1,train_fscore_0,train_fscore_1,test_MSE,test_r2,train_MSE,train_r2,exec_time
12,deep learning,,standard features,"(2010, 2020)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.7446691989898682,0.5444333553314209,"[[1331, 498], [436, 1393]]",0.7532541029994341,0.7366472765732417,0.7277200656096228,0.7616183706943686,0.7402669632925474,0.7489247311827958,0.7510793805122375,0.5296593904495239,"[[4759, 1958], [1386, 5331]]",0.7744507729861676,0.7313760460968582,0.7085008188179247,0.7936578829834747,0.740009329808739,0.7612451806368699,,,,,18.44662594795227
13,deep learning,,standard features,"(2010, 2020)",MLP,1 hidden layer (64),SMOTE + random undersampling,classification,0.741115391254425,0.5434281826019287,"[[1416, 413], [534, 1295]]",0.7261538461538461,0.7581967213114754,0.7741935483870968,0.7080371787862221,0.7494046043926964,0.7322589765337857,0.7810034155845642,0.4669120609760285,"[[5224, 1493], [1449, 5268]]",0.7828562865277986,0.7791746783020264,0.7777281524490101,0.78427869584636,0.7802837938760268,0.7817183558391452,,,,,22.878100633621216
1,deep learning,3,standard + new features,"(1960, 2020)",MLP,1 hidden layer (64),SMOTE + random undersampling,classification,0.7363150715827942,0.5387090444564819,"[[3573, 921], [1449, 3045]]",0.7114695340501792,0.7677760968229954,0.7950600801068091,0.677570093457944,0.7509457755359394,0.7198581560283688,0.7690081000328064,0.4910509288311005,"[[35167, 10261], [10726, 34702]]",0.7662824395877367,0.7717901385583702,0.7741260896363477,0.763890111825306,0.7701842949595383,0.7678198050690888,,,,,434.398116350174
6,deep learning,1,standard + new features,"(1980, 1989)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.7331638932228088,0.5431739687919617,"[[552, 235], [185, 602]]",0.7489823609226595,0.7192353643966547,0.7013977128335451,0.7649301143583227,0.7244094488188976,0.7413793103448276,0.7615384459495544,0.4999678432941437,"[[4285, 2085], [953, 5417]]",0.8180603283696067,0.7220741135697147,0.6726844583987441,0.850392464678179,0.7382839421088906,0.7809976931949251,,,,,14.52359938621521
0,deep learning,3,standard + new features,"(1960, 2020)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.7296395301818848,0.5373861789703369,"[[3386, 1108], [1322, 3172]]",0.7192013593882752,0.7411214953271028,0.7534490431686693,0.7058299955496217,0.7359269723973051,0.7230453612947344,0.7611384987831116,0.5053378343582153,"[[33528, 11900], [9802, 35626]]",0.7737825986614355,0.7496107393847579,0.7380470194593642,0.7842299903143436,0.7554924626512541,0.7665296813477634,,,,,64.79639983177185
6,deep learning,all,standard + new features,"(1980, 1989)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.7286585569381714,0.5368812680244446,"[[617, 203], [242, 578]]",0.7182770663562281,0.7400768245838668,0.7524390243902439,0.7048780487804878,0.7349612864800477,0.7220487195502809,0.7756972908973694,0.4879633188247681,"[[4629, 1753], [1110, 5272]]",0.8065865133298484,0.7504626334519573,0.7253212159197744,0.8260733312441241,0.7637983664714133,0.7864548370254344,,,,,17.778339624404907
12,deep learning,1,standard + new features,"(2010, 2020)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.7274919748306274,0.554254412651062,"[[1376, 490], [527, 1339]]",0.7230688386757751,0.7320940404592674,0.737406216505895,0.717577706323687,0.7301671530910057,0.7247631935047361,0.7579594254493713,0.5196563601493835,"[[4909, 1844], [1425, 5328]]",0.7750236817177141,0.7428890128276632,0.7269361765141419,0.788982674366948,0.7502101321922519,0.7652423698384201,,,,,15.595451354980467
13,deep learning,3,standard + new features,"(2010, 2020)",MLP,1 hidden layer (64),SMOTE + random undersampling,classification,0.726959764957428,0.5647761225700378,"[[1426, 462], [569, 1319]]",0.7147869674185464,0.7405951712521056,0.7552966101694916,0.6986228813559322,0.7344836466649498,0.7189970019078769,0.7900339961051941,0.4578849077224731,"[[5325, 1438], [1402, 5361]]",0.7915861453842723,0.7884983085747904,0.7873724678397162,0.7926955493124354,0.7894736842105262,0.7905913582067542,,,,,114.8353750705719
12,deep learning,all,standard + new features,"(2010, 2020)",MLP,"4 hidden layers (1024, 254, 128, 64)",SMOTE + random undersampling,classification,0.726756751537323,0.5523898005485535,"[[1315, 535], [476, 1374]]",0.7342266890005583,0.7197485594552121,0.7108108108108108,0.7427027027027027,0.7223290304861302,0.7310454908220272,0.7525643110275269,0.524640679359436,"[[4741, 1986], [1343, 5384]]",0.7792570677186061,0.7305291723202171,0.7047718150735841,0.8003567712204549,0.7401451877292952,0.7638504646378662,,,,,19.439748287200924
13,deep learning,1,standard + new features,"(2010, 2020)",MLP,1 hidden layer (64),SMOTE + random undersampling,classification,0.7256162762641907,0.5582107305526733,"[[1504, 362], [662, 1204]]",0.6943674976915974,0.768837803320562,0.8060021436227224,0.6452304394426581,0.7460317460317459,0.7016317016317016,0.7763216495513916,0.4780630767345429,"[[5496, 1257], [1764, 4989]]",0.7570247933884298,0.7987512007684918,0.8138605064415815,0.7387827632163483,0.7844144722757441,0.7675975075005769,,,,,114.70124244689941
